County Code	AgencyName	AgencyRef	Addr1	Addr2	City	State	Zip	Phone	Contact	Group	Pantry Size	OpenSunAM	OpenSunPM	SunFrom	SunTo	OpenMonAM	OpenMonPM	MonFrom	MonTo	OpenTueAM	OpenTuePM	TueFrom	TueTo	OpenWedAM	OpenWedPM	WedFrom	WedTo	OpenThrAM	OpenThrPM	ThrFrom	ThrTo	OpenFriAM	OpenFriPM	FriFrom	FriTo	OpenSatAM	OpenSatPM	SatFrom	SatTo	HoursComments	Pounds 2015
ALBANY 	LRI - Delafield Dr	1000R	34 Delafield Drive		Albany	NY	12205	(518)456-9691	Joe Sterling	RESIDENTIAL PROGRAM	500-999 meals/month	FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE				60,818.00
ALBANY 	Veteran House	1035R	180 First St.		Albany	NY	12210	(518)449-8430	Joe Mosso	RESIDENTIAL PROGRAM	2,000-2,499 meals per month	FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE				21,765.00
ALBANY 	Children's Center at Family Ct	1065D	30 Clinton Ave.		Albany	NY	12207	(518)285-8644	Sara Shapero	DAY PROGRAM	1-499 meals/month	FALSE	FALSE			FALSE	FALSE	9 am	1 pm	FALSE	FALSE	9 am	1 pm	FALSE	FALSE	9 am	1 pm	FALSE	FALSE	9 am	5 pm	FALSE	FALSE	9 am	1 pm	FALSE	FALSE			Open 9am-5pm M-F all summer and during vacations	57,582.00
ALBANY 	Food Pantries for the Capital District	106FP	32 Essex Street		Albany	NY	12206	(518)458-1167	Natasha Pernicka	FOOD PANTRY	N/A	FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE				45,801.00
ALBANY 	St. Patrick's Food Pantry	1071F	21 Main Street		Ravena	NY	12143	(518)756-3145	Diane Hoffman	FOOD PANTRY	2,500-3,499 meals/month	FALSE	FALSE			FALSE	FALSE			TRUE	FALSE	10-11:30 am		FALSE	TRUE		6-7 pm	FALSE	FALSE			TRUE	FALSE	10-11 am		FALSE	FALSE				69,071.00
ALBANY 	Albany United Methodist  FP	108FP	340 First St 1st Floor		Albany	NY	12206	(518)432-0818	Peter Fish 	FOOD PANTRY	3,500-4,999 meals/month	FALSE	FALSE			FALSE	FALSE			TRUE	TRUE	10 am	1 pm	TRUE	TRUE	10 am	1 pm	FALSE	TRUE	12	2 pm	TRUE	TRUE	9 am	12 pm	FALSE	FALSE			For Fridays, only the last Friday of the month 9-12	117,164.00
ALBANY 	Capital Area Peer Services	1135D	352-354 Central Ave		Albany	NY	12206	(518)427-5056	Dan Reilly	DAY PROGRAM	1,000-1,499 meals/month	FALSE	TRUE	1:00pm	5:00pm	TRUE	TRUE	9:00am	6:00pm	TRUE	TRUE	9:00am	6:00pm	TRUE	TRUE	9:00am	6:00pm	TRUE	TRUE	9:00am	6:00pm	TRUE	TRUE	9:00am	6:00pm	FALSE	TRUE	1:00pm	5:00pm	M-F 9:00am-6:00pm, Sa-Su 1:00pm-5:00pm	0.00
ALBANY 	LRI - Brookside	1146R	4 Brookside Ave.		Menands	NY	12204	(518)432-6236	Jessica White 	RESIDENTIAL PROGRAM	1-499 meals/month	FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE				17,194.00
ALBANY 	Albany County Opportunity Inc	1149D	Albany County Headstart	Various Locations	Albany	NY	12206	(518)463-3175	Sarah Shapero	DAY PROGRAM	2,000-2,499 meals per month	FALSE	FALSE			TRUE	TRUE	8 am	5 pm	TRUE	TRUE	8 am	5 pm	TRUE	TRUE	8 am	5 pm	TRUE	TRUE	8 am	5 pm	TRUE	TRUE	8 am	5 pm	FALSE	FALSE				44,092.00
ALBANY 	St. Anne Institute	1150R	25 W. Lawrence St.		Albany	NY	12206	(518)437-6520	Angela Fedullo	RESIDENTIAL PROGRAM	1,500-1,999 meals per month	FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE			FALSE	FALSE				57,822.00
